"","eventSec","y1","x1","is_goal","is_blocked","is_CA","body_part","foot","angle","distance","minute"
"4420",485,26.01,14.7,0,0,0,"right","right",0.121780896284917,85.6733920187592,8
"4421",720,39.69,7.35,0,0,0,"head/body","left",0.0332826084328523,92.8245581729318,12
"4422",1351,23.04,17.85,0,0,0,"left","left",0.155027445196342,82.8778866767246,23
"4423",1447,20.25,19.95,0,0,1,"right","right",0.181739292582844,81.2223183613962,24
"4424",1549,28.09,15.75,0,0,0,"right","right",0.112146705505822,84.4570340469046,26
"4425",1617,42.25,11.55,0,0,1,"left","left",0.0443503842743095,88.8339180718716,27
"4426",1806,46.24,10.5,0,0,0,"right","right",0.034375837813347,90.3330924966039,30
"4427",2642,9.61,8.4,0,0,0,"left","left",0.390163095959604,94.7915191354163,44
"4428",2710,12.25,11.55,0,0,1,"right","right",0.303388468748635,91.0849328923286,45
"4429",2849,39.69,8.4,0,0,0,"right","right",0.0376480452239177,91.7765552851053,47
"4430",419,13.69,9.45,0,0,0,"head/body","right",0.256892046091878,92.7997769393871,7
"4431",632,12.25,5.25,0,0,0,"left","right",0.229865934052728,97.2143250760915,11
"4432",1900,12.25,31.5,0,0,0,"right","right",0.20147765266377,71.870108529207,32
"4433",2172,27.04,7.35,0,0,0,"right","right",0.0695982140535661,92.9110547782125,36
"4434",2255,25,7.35,1,0,0,"head/body","right",0.0806537240162684,93.0861026147298,38
"4435",420,34.81,24.15,0,0,0,"right","right",0.0989026073178906,75.8543248602214,7
"4436",1244,5.76,57.75,0,0,0,"right","right",0.125345237381515,50.8188951080206,21
"4437",1822,28.09,12.6,0,0,0,"head/body","right",0.0983871734860109,87.5995896109109,30
"4438",1919,22.09,3.15,1,0,0,"left","right",0.0475559396313229,97.5795603597393,32
"4439",2109,42.25,21,0,0,0,"left","right",0.0693612788821045,79.4296072003381,35
"4440",2164,38.44,28.35,0,0,0,"left","left",0.0912475018651224,71.7874369231832,36
"4441",2590,32.49,11.55,0,0,0,"head/body","right",0.0717932882750719,88.4628882639494,43
"4442",164,23.04,10.5,0,0,0,"head/body","right",0.121841283848812,90.168573239239,3
"4443",437,30.25,16.8,0,0,0,"left","right",0.103501849525655,83.2844673393545,7
"4444",582,43.56,8.4,0,0,0,"right","right",0.031447116926728,92.0975222250849,10
"4445",624,12.25,21,0,0,0,"right","left",0.260077859348461,81.9393830828619,10
"4446",968,25,4.2,1,0,0,"right","right",0.0488197770786269,96.2218270456345,16
"4447",1190,32.49,23.1,0,0,0,"left","left",0.106895486380584,76.9148236687831,20
"4448",1396,27.04,17.85,0,0,0,"right","right",0.125412669676629,82.4443090819494,23
"4449",2202,7.29,12.6,0,0,0,"left","right",0.434949248607372,91.3902844945785,37
"4450",2317,30.25,18.9,0,0,0,"right","right",0.109458703066594,81.1866522280602,39
"4451",2588,8.41,17.85,0,0,0,"left","left",0.334487772630042,86.0434227585119,43
"4452",2706,22.09,3.15,1,0,0,"left","right",0.0475559396313229,97.5795603597393,45
"4453",698,20.25,13.65,0,0,1,"left","right",0.169739881531667,87.4378922435805,12
"4454",889,8.41,29.4,0,0,0,"right","right",0.229382582012013,75.0946609287238,15
"4455",1041,26.01,13.65,0,0,0,"head/body","left",0.117089073020222,86.7188710719876,17
"4456",1139,57.76,29.4,0,0,0,"left","left",0.0513516726319192,74.4909229369592,19
"4457",1570,32.49,8.4,0,0,0,"right","right",0.0552008383449002,91.612445115279,26
