"","eventSec","y1","x1","is_goal","is_blocked","is_CA","body_part","foot","angle","distance","minute"
"1",95,16.81,12.6,1,0,0,"right","right",0.212278186261925,89.0744413398142,2
"2",180,27.04,15.75,0,0,0,"left","left",0.118806855229946,84.5369984089807,3
"3",255,27.04,4.2,1,0,0,"head/body","right",0.0417811499335291,96.052493981156,4
"4",426,10.89,19.95,0,0,0,"left","right",0.282452253290744,83.3191130533685,7
"5",815,9,26.25,0,0,0,"right","right",0.248685939156067,77.8720906358626,14
"6",1583,10.24,10.5,0,0,0,"left","left",0.364053995183281,92.6001490279578,26
"7",1606,12.96,28.35,0,0,0,"right","right",0.213261814512966,74.675324572445,27
"8",1711,29.16,6.3,1,0,0,"right","right",0.0525593511884911,93.8249199306879,29
"9",1969,33.64,8.4,0,0,1,"head/body","right",0.05167608840735,91.6007074208491,33
"10",2816,25,8.4,1,0,0,"right","right",0.0898937045478396,92.0410777859538,47
"11",232,40.96,30.45,0,0,0,"left","left",0.0857975544011708,69.8973826405539,4
"12",341,25,8.4,0,0,0,"head/body","left",0.0898937045478396,92.0410777859538,6
"13",594,34.81,26.25,0,0,0,"right","left",0.101457000427164,73.7544480014596,10
"14",634,29.16,8.4,1,0,0,"head/body","right",0.0676542026753077,91.7277798706586,11
"15",825,30.25,24.15,0,0,0,"right","right",0.118493579754727,75.9426428299674,14
"16",994,46.24,9.45,0,0,0,"right","right",0.0312331144593152,91.3735196870516,17
"17",1346,31.36,10.5,0,0,0,"head/body","right",0.0710269590718832,89.5389278470543,22
"18",1455,31.36,29.4,0,0,0,"left","left",0.116783207579907,70.6493425305572,24
"19",1734,10.89,8.4,0,0,0,"left","left",0.336539096727123,94.4702709851094,29
"20",1997,43.56,28.35,0,0,0,"right","right",0.0770559824258246,72.2849645500363,33
"21",2148,10.24,8.4,0,0,0,"head/body","right",0.362713539399483,94.6313774601215,36
"22",2231,39.69,6.3,1,0,0,"right","right",0.0287859234962263,93.8726056951654,37
"23",2355,11.56,10.5,0,0,0,"left","right",0.321870295546939,92.2702747367753,39
"24",2375,19.36,9.45,1,0,0,"head/body","left",0.152287354058566,91.7258529532432,40
"25",2997,33.64,28.35,0,0,0,"right","right",0.107556543465167,71.6509043906635,50
"26",535,8.41,21,0,0,0,"right","right",0.299208061088243,83.0412433673774,9
"27",794,34.81,11.55,0,0,0,"head/body","right",0.0634001379393421,88.4537087973139,13
"28",1996,31.36,8.4,0,0,0,"right","right",0.0590195687391929,91.6380357711796,33
"29",1998,17.64,7.35,0,0,0,"left","right",0.151759126335308,94.0833253026274,33
"30",2675,14.44,12.6,0,0,0,"head/body","right",0.254960132253954,89.5620098032642,45
"31",2698,16.81,24.15,0,0,0,"right","right",0.2044890359105,77.773508343137,45
"32",300,14.44,21,0,0,0,"right","right",0.237107628963623,81.3854630754166,5
"33",426,11.56,14.7,0,0,0,"right","right",0.309646412209906,88.2022879521841,7
"34",618,15.21,27.3,0,0,0,"right","right",0.204560767327599,75.0889745568549,10
"35",658,30.25,13.65,0,0,0,"right","right",0.0915804025866199,86.4313889741453,11
"36",662,43.56,29.4,0,0,0,"right","right",0.0781424881113185,71.2443232826307,11
"37",1455,30.25,11.55,1,0,1,"right","right",0.0815005473543506,88.529458374035,24
"38",179,6.76,8.4,0,0,0,"head/body","left",0.538779486514269,95.5645206130392,3
"39",1394,27.04,13.65,1,0,0,"right","right",0.110071247306818,86.630041556033,23
"40",2318,5.76,9.45,1,0,0,"left","left",0.565139393743718,94.8514633519167,39
"41",2425,22.09,27.3,0,0,0,"left","right",0.162376178932307,73.6691122520151,40
"42",2531,21.16,7.35,1,0,0,"head/body","right",0.109723448522818,93.535491125027,42
"43",2846,5.76,11.55,0,0,0,"left","left",0.504318159378734,92.8488023616891,47
"44",125,10.89,30.45,0,0,0,"right","right",0.212635362600677,73.2889800720408,2
"45",225,5.29,23.1,0,0,0,"left","left",0.299191233878956,82.0845545763635,4
"46",478,18.49,16.8,0,0,0,"right","right",0.198703719388957,84.6333273598528,8
"47",669,22.09,7.35,0,0,0,"head/body","right",0.101433713904561,93.4123685600574,11
"48",841,5.29,25.2,0,0,0,"right","right",0.276670598916023,80.1205597833665,14
"49",1105,26.01,10.5,0,0,0,"right","right",0.0990573682941879,89.8559408163979,18
"50",1237,16,3.15,0,0,0,"head/body","left",0.0910565876290377,98.5084894818715,21
"51",1384,24.01,5.25,1,0,0,"head/body","right",0.0649726622518245,95.2751940433605,23
"52",1827,32.49,8.4,0,0,0,"head/body","left",0.0552008383449002,91.612445115279,30
"53",2068,24.01,24.15,0,0,0,"right","right",0.153009852980959,76.5050495065522,34
"54",2357,30.25,19.95,0,0,0,"left","right",0.111893100606936,80.1377875911233,39
"55",2541,17.64,10.5,1,0,0,"left","right",0.186189498886508,90.9829632403781,42
"56",100,18.49,12.6,0,0,0,"left","left",0.187079544794904,88.7655344151096,2
"57",1018,34.81,19.95,0,0,0,"left","right",0.0912264244349306,80.0540979588178,17
"58",1187,9,25.2,0,0,0,"left","left",0.256734752871242,78.8672302036784,20
"59",1507,23.04,7.35,1,0,0,"head/body","right",0.0938702299353047,93.2960025938947,25
"60",1914,31.36,7.35,0,0,0,"head/body","right",0.0524888339486286,92.6876048886797,32
"61",2194,44.89,9.45,0,0,0,"right","right",0.033069418424895,91.202492290507,37
"62",2491,9,13.65,0,0,0,"right","right",0.374882778077229,89.8961762256883,42
"63",2641,22.09,9.45,0,0,0,"head/body","right",0.12206622086808,91.3298998138069,44
"64",2816,10.89,18.9,0,0,0,"right","left",0.290714699136499,84.3284181044563,47
"65",128,7.84,33.6,0,0,0,"left","left",0.205995759285974,71.3673987195834,2
"66",131,37.21,4.2,0,0,0,"right","right",0.0221330276840596,95.853764141008,2
"67",558,25,7.35,0,0,0,"head/body","right",0.0806537240162684,93.0861026147298,9
"68",751,11.56,3.15,0,0,1,"left","right",0.175331517178932,99.4156733116061,13
"69",1920,24.01,9.45,0,0,0,"right","right",0.105637448188877,91.0994105359634,32
"70",1964,36,15.75,1,0,0,"right","right",0.0751781600205754,84.2737355289298,33
"71",2216,32.49,14.7,0,0,0,"left","right",0.0853082042943801,85.3133641348177,37
"72",2289,29.16,5.25,0,0,0,"head/body","right",0.0444256056909345,94.8735374063811,38
"73",726,20.25,17.85,0,0,0,"right","right",0.180678051410558,83.2927667928014,12
"74",1190,51.84,22.05,0,0,0,"right","right",0.0510303944522826,79.9654181505981,20
"75",1431,34.81,17.85,0,0,0,"right","right",0.0859218723611113,82.1539932078776,24
"76",2046,53.29,17.85,0,0,0,"right","right",0.041521394448398,84.3843978469954,34
"77",2091,5.76,12.6,0,0,0,"left","right",0.476826879549168,91.8491023363865,35
"78",2714,24.01,6.3,1,0,0,"head/body","right",0.0763574757212707,94.2310463700791,45
"79",23,9,14.7,0,0,0,"right","right",0.362531230905929,88.8880756907247,0
"80",764,12.25,26.25,0,0,0,"right","right",0.228634397619183,76.8903439971496,13
"81",974,27.04,10.5,0,0,0,"head/body","right",0.0925590609249746,89.7702155505934,16
"82",1401,9.61,8.4,0,0,0,"right","right",0.390163095959604,94.7915191354163,23
"83",1765,37.21,13.65,0,0,0,"right","right",0.064064565716294,86.4096441376771,29
"84",2858,12.25,24.15,0,0,0,"left","left",0.240798060197931,78.9068121267106,48
"85",666,49,11.55,0,0,0,"left","right",0.0335240355657536,89.7128892634721,11
"86",911,6.76,17.85,0,0,0,"left","left",0.356433504410071,86.5484840999541,15
"87",1974,13.69,8.4,1,0,0,"left","left",0.24629765333147,93.824602850212,33
"88",2175,9.61,22.05,0,0,0,"right","right",0.278188416111619,81.676646601094,36
"89",2767,27.04,14.7,0,0,0,"right","right",0.114719551834467,85.5834773773536,46
"90",241,10.89,10.5,0,0,0,"right","right",0.3426732619715,92.4355023786856,4
"91",422,27.04,8.4,1,0,0,"head/body","left",0.0778405904578439,91.8640386658457,7
"92",779,34.81,13.65,0,0,0,"head/body","right",0.0720356583625705,86.3537989899692,13
"93",1022,10.89,13.65,0,0,0,"right","right",0.330201057463284,89.3890071541238,17
"94",1070,27.04,18.9,0,0,0,"right","right",0.127995105745303,81.3981056290624,18
"95",1211,8.41,15.75,0,0,0,"right","right",0.360970356220534,88.050613853624,20
"96",1212,7.29,15.75,0,0,0,"right","right",0.381002293843939,88.3826148063068,20
"97",1538,10.89,11.55,0,0,0,"left","left",0.340539036752225,91.4192244552534,26
"98",1762,18.49,26.25,0,0,0,"left","left",0.186638732885739,75.3632708950454,29
"99",1942,44.89,10.5,0,0,0,"right","right",0.0363765690514265,90.1600915039465,32
"100",2513,17.64,12.6,1,0,0,"right","right",0.199343427235298,88.9179936795697,42
"101",2670,14.44,30.45,1,0,0,"right","right",0.19605002896091,72.248156377862,44
"102",2818,39.69,24.15,0,0,0,"right","right",0.0822234619907702,76.0631224707479,47
"103",283,10.89,13.65,0,0,0,"left","right",0.330201057463284,89.3890071541238,5
"104",981,21.16,27.3,0,0,0,"right","right",0.167811059501869,73.8251691498232,16
"105",1558,10.89,15.75,0,0,0,"right","right",0.315462485194477,87.3620890317991,26
"106",2449,6.76,24.15,0,0,0,"right","right",0.279671749059834,80.5930524300947,41
"107",2680,22.09,30.45,0,0,0,"right","right",0.157688264285926,70.5623879981396,45
"108",235,13.69,6.3,0,0,0,"left","right",0.212528500488321,95.8758890441179,4
"109",354,25,11.55,0,0,0,"right","right",0.113000076705638,88.9067067211467,6
"110",937,23.04,6.3,1,0,0,"left","right",0.0825850613939483,94.3388127972787,16
"111",1055,12.96,8.4,0,0,0,"left","right",0.266624110693033,93.9853265143022,18
"112",1483,22.09,12.6,1,0,0,"right","left",0.144613065691047,88.2077553279756,25
"113",2076,12.96,18.9,0,0,0,"left","left",0.264018647069456,83.7847933696801,35
"114",2260,15.21,4.2,0,0,0,"left","left",0.129765414059999,97.6253250954894,38
"115",2470,12.25,10.5,0,0,0,"right","left",0.301771943126827,92.1048994353721,41
"116",2738,33.64,11.55,0,0,0,"right","right",0.0674448354336041,88.4507326142639,46
"117",81,40.96,5.25,0,0,0,"head/body","left",0.022710357616842,95.0052845898585,1
"118",210,18.49,6.3,0,0,0,"right","left",0.12460687385865,94.9749972361147,4
"119",385,9.61,25.2,0,0,0,"left","left",0.252825860171349,78.6759944328637,6
"120",588,27.04,6.3,0,0,0,"head/body","right",0.0608076863413457,93.9581374868617,10
"121",1052,20.25,5.25,0,0,0,"left","left",0.0903412018022372,95.7424931783166,18
"122",1246,10.89,7.35,0,0,0,"right","right",0.325865618127396,95.4887145164286,21
"123",1427,10.24,21,0,0,0,"left","right",0.28105476930006,82.495682311258,24
"124",1484,24.01,23.1,0,0,0,"right","right",0.152978682957673,77.5461804346288,25
"125",2153,25,23.1,0,0,0,"right","right",0.146591805320491,77.4248668064725,36
"126",2195,30.25,7.35,0,0,0,"right","right",0.0562371724730682,92.7258593920811,37
"127",59,43.56,9.45,0,0,0,"right","right",0.0350392072458011,91.0532596890413,1
"128",242,4,22.05,0,0,0,"left","left",0.318931527135246,83.5236643113794,4
"129",357,43.56,7.35,0,0,0,"left","left",0.0277530427142883,93.1419137660377,6
"130",963,36,19.95,0,0,0,"right","left",0.0866758984169165,80.074980487041,16
"131",1328,7.84,9.45,0,0,0,"left","left",0.466484025087005,94.2531065801016,22
"132",1986,16.81,31.5,0,0,0,"left","left",0.180796451214086,70.6239768067474,33
"133",2033,32.49,4.2,0,0,0,"head/body","right",0.0289998966925412,95.8118995741134,34
"134",2222,29.16,15.75,0,0,0,"left","left",0.105863503210949,84.3889098163971,37
"135",2487,43.56,23.1,0,0,0,"right","right",0.0698258417130474,77.4919582924577,41
"136",2834,44.89,13.65,0,0,1,"right","right",0.045633844900702,87.0339853160821,47
"137",467,31.36,5.25,1,0,0,"head/body","right",0.0385027791331109,94.7867717564007,8
"138",1699,10.24,10.5,1,0,0,"right","right",0.364053995183281,92.6001490279578,28
"139",1861,28.09,7.35,1,0,0,"right","right",0.0647564102370631,92.8383035174599,31
"140",2160,9.61,48.3,0,0,0,"right","right",0.145554716340323,57.1643429070955,36
"141",2260,43.56,10.5,0,0,0,"left","left",0.0385202339170085,90.0091306479515,38
"142",2841,21.16,12.6,0,0,0,"head/body","right",0.154270121378058,88.3381321966907,47
"143",190,42.25,13.65,0,0,0,"left","left",0.0509866913941217,86.7432129909885,3
"144",713,32.49,4.2,1,0,0,"left","left",0.0289998966925412,95.8118995741134,12
"145",1108,10.24,19.95,0,0,1,"left","left",0.289946598348653,83.5017371076794,18
"146",1144,16.81,6.3,0,0,0,"head/body","right",0.148210456827943,95.2637711829634,19
"147",1460,34.81,7.35,0,0,0,"head/body","right",0.0429339877534973,92.6535406770837,24
"148",1535,42.25,15.75,0,0,0,"left","left",0.0570200275752213,84.6529680519236,26
"149",1800,5.29,26.25,0,0,0,"left","left",0.266576339887315,79.1411814417753,30
"150",1874,47.61,9.45,0,0,1,"right","left",0.0295199114798115,91.5671043552214,31
"151",2403,24.01,13.65,0,0,0,"right","right",0.132547686459168,86.9259604491086,40
"152",2843,16,14.7,0,0,0,"left","right",0.230421069319213,87.1784950546865,47
"153",2879,27.04,1.05,1,0,0,"head/body","right",0.0106913950826594,99.1944761566893,48
"154",2966,23.04,10.5,0,0,0,"head/body","right",0.121841283848812,90.168573239239,49
"155",143,6.25,21,0,0,0,"right","right",0.31820623852286,83.7320876367,2
"156",457,56.25,11.55,0,0,0,"right","right",0.0257385941047895,91.2056193444242,8
"157",533,14.44,3.15,0,0,0,"right","right",0.111985346124728,98.8054457001232,9
"158",794,62.41,12.6,0,0,0,"right","right",0.0228236342891985,91.901513045216,13
"159",852,22.09,3.15,0,0,0,"head/body","right",0.0475559396313229,97.5795603597393,14
"160",1360,9.61,13.65,0,0,0,"right","right",0.360218654507065,89.7284492231979,23
"161",1516,4.84,10.5,0,0,0,"right","left",0.568609823548907,94.1305242734789,25
"162",1816,17.64,2.1,1,0,0,"head/body","right",0.0508258579390745,99.25754177895,30
"163",1990,33.64,16.8,0,0,0,"right","right",0.0875843727454798,83.2007788425084,33
"164",2385,31.36,1.05,0,0,0,"right","right",0.00791411016991169,98.9852115217218,40
"165",2681,24.01,27.3,0,0,0,"left","left",0.151564746227297,73.3831731393512,45
"166",275,33.64,29.4,0,0,0,"left","right",0.108124269407984,70.6009178410593,5
"167",447,29.16,14.7,0,0,0,"head/body","right",0.101834550373076,85.4372026695631,7
"168",649,14.44,4.2,0,0,0,"head/body","right",0.143508842294315,97.7764470616518,11
"169",2225,23.04,9.45,0,0,0,"head/body","left",0.113517567080507,91.2108770925924,37
"170",2368,20.25,7.35,0,0,0,"left","left",0.118814837333796,93.6647479044277,39
"171",2390,7.84,32.55,0,0,0,"left","left",0.211895173254593,72.3453391726102,40
"172",2823,8.41,23.1,0,0,1,"right","right",0.278692750803984,81.0460245786306,47
"173",2983,27.04,22.05,0,0,0,"right","right",0.133267055897755,78.260105417767,50
"174",1139,18.49,11.55,0,0,0,"head/body","right",0.181040580996662,89.7995690412822,19
"175",1833,38.44,5.25,0,0,0,"right","right",0.0257551210197612,94.8539725051091,31
"176",1942,28.09,21,0,0,1,"left","right",0.125680732572969,79.2207554874352,32
"177",2274,12.96,14.7,0,0,0,"head/body","right",0.282540504817765,87.8565398817868,38
"178",2822,15.21,5.25,0,0,0,"left","right",0.155270705941697,96.5951686162408,47
"179",88,19.36,8.4,0,0,0,"head/body","right",0.141392080424108,92.7625441651963,1
"180",195,49,6.3,0,0,0,"right","right",0.0189966460325278,94.8930450559998,3
"181",715,46.24,14.7,0,0,1,"right","right",0.0459359338580095,86.1737059664954,12
"182",742,7.84,17.85,0,0,0,"right","right",0.342299126935063,86.2146629060278,12
"183",1024,10.89,25.2,0,0,0,"right","right",0.244221846195047,78.2886460478146,17
"184",1498,21.16,13.65,0,0,0,"right","right",0.159614016321103,87.299416378347,25
"185",1636,34.81,5.25,1,0,0,"left","right",0.0313380575871053,94.753462205874,27
"186",1802,29.16,11.55,0,0,0,"head/body","right",0.0869132453322816,88.5823238575281,30
"187",2160,25,6.3,0,0,0,"head/body","right",0.0706887118105363,94.1312381730953,36
"188",2440,42.25,5.25,0,0,0,"right","right",0.0213558968690573,95.108490683009,41
"189",2447,40.96,29.4,1,0,0,"right","right",0.084902060764462,70.942241295296,41
"190",2580,7.84,24.15,0,0,0,"right","left",0.273032352070915,80.2344570617886,43
"191",260,13.69,28.35,0,0,0,"right","right",0.209142314635245,74.4729387093057,4
"192",972,27.04,25.2,0,0,0,"right","right",0.135520786750105,75.1231096267986,16
"193",1763,43.56,24.15,0,0,0,"left","left",0.0715261203675032,76.4500889469725,29
"194",1862,30.25,11.55,0,0,0,"head/body","left",0.0815005473543506,88.529458374035,31
"195",2374,19.36,3.15,0,0,0,"head/body","left",0.0620150002398916,97.950253190076,40
"196",2565,20.25,6.3,0,0,0,"head/body","left",0.105293280653681,94.7034978234701,43
"197",19,53.29,14.7,0,0,0,"right","right",0.0353520182988515,87.4539541701803,0
"198",586,31.36,24.15,0,0,0,"right","right",0.113322147741449,75.8959294033613,10
"199",737,33.64,27.3,0,0,0,"left","right",0.106826163630674,72.7008913287863,12
"200",1027,15.21,26.25,0,0,0,"left","left",0.208763098436736,76.106022100751,17
"201",1513,38.44,8.4,1,0,0,"right","left",0.040041188037174,91.7075438554539,25
"202",1826,31.36,8.4,0,0,0,"head/body","left",0.0590195687391929,91.6380357711796,30
"203",2131,36,24.15,0,0,0,"right","right",0.0944631430812099,75.8763632496972,36
"204",2210,10.89,10.5,0,0,0,"right","right",0.3426732619715,92.4355023786856,37
"205",2603,26.01,13.65,0,0,0,"right","right",0.117089073020222,86.7188710719876,43
"206",2693,34.81,7.35,0,0,0,"head/body","right",0.0429339877534973,92.6535406770837,45
"207",2913,10.24,10.5,0,0,0,"head/body","right",0.364053995183281,92.6001490279578,49
"208",233,22.09,27.3,0,0,0,"right","right",0.162376178932307,73.6691122520151,4
"209",457,31.36,32.55,0,0,0,"right","right",0.116863140013581,67.5016451651365,8
"210",528,5.29,12.6,0,0,0,"left","left",0.488966338785284,91.9946960427611,9
"211",877,28.09,18.9,0,0,0,"left","left",0.121520767040691,81.3150545717089,15
"212",950,8.41,18.9,0,0,0,"right","left",0.322113440698162,85.0415081004564,16
"213",2416,9.61,27.3,0,0,0,"right","right",0.237857317220866,76.6822150175645,40
"214",248,16,16.8,1,0,0,"right","right",0.230157444768495,85.1248494859169,4
"215",1343,19.36,13.65,0,0,0,"right","right",0.18043583489066,87.5822590482799,22
"216",1371,30.25,7.35,0,0,0,"left","right",0.0562371724730682,92.7258593920811,23
"217",1530,12.96,29.4,0,0,0,"left","right",0.208151405416318,73.6684572934713,25
"218",2298,34.81,14.7,0,0,0,"head/body","right",0.0759295918680576,85.3038457515252,38
"219",2639,25,28.35,0,0,0,"right","right",0.145587378935165,72.2130355268355,44
"220",2853,31.36,14.7,0,0,0,"right","right",0.0904698481097109,85.3408436799168,48
"221",51,49,12.6,0,0,0,"left","left",0.0362052252532807,88.6778439070324,1
"222",53,25,9.45,1,0,0,"right","right",0.098373571935862,90.996167501714,1
"223",301,22.09,13.65,0,0,0,"head/body","right",0.150049541794565,87.1674859107454,5
"224",2337,31.36,18.9,0,0,0,"right","right",0.103860414555594,81.1429577967182,39
"225",2421,29.16,7.35,0,0,0,"left","right",0.0603151661066874,92.7763337279503,40
"226",532,13.69,8.4,1,0,0,"head/body","right",0.24629765333147,93.824602850212,9
"227",1637,17.64,23.1,0,0,0,"right","right",0.200649353488213,78.6209870200063,27
"228",1722,24.01,30.45,0,0,0,"left","right",0.148463983854881,70.2638071840688,29
"229",1838,44.89,28.35,0,0,0,"left","left",0.073836834321633,72.4728542283247,31
"230",2683,53.29,28.35,0,0,0,"left","left",0.0571040662561044,74.2012574017449,45
"231",488,22.09,7.35,0,0,0,"head/body","right",0.101433713904561,93.4123685600574,8
"232",566,10.24,6.3,0,0,0,"right","right",0.338119561701971,96.6655450509643,9
"233",848,31.36,5.25,0,0,0,"head/body","right",0.0385027791331109,94.7867717564007,14
"234",1644,14.44,22.05,0,0,0,"left","left",0.232613391697953,80.3666354901087,27
"235",2062,46.24,7.35,0,0,0,"right","right",0.0246887940973924,93.4550164517668,34
"236",2406,64,23.1,0,0,0,"right","right",0.0366136447172041,82.5445940083298,40
"237",2424,10.89,12.6,0,0,1,"left","left",0.336159101817843,90.4037172908283,40
"238",509,24.01,27.3,0,0,0,"right","right",0.151564746227297,73.3831731393512,8
"239",589,30.25,7.35,0,0,0,"right","right",0.0562371724730682,92.7258593920811,10
"240",659,6.76,15.75,0,0,0,"right","right",0.390136669883405,88.5442268022032,11
"241",835,32.49,29.4,0,0,0,"right","right",0.112401607383395,70.6161461706882,14
"242",841,8.41,11.55,0,0,0,"left","left",0.417238345381522,92.0774163408162,14
"243",1496,18.49,12.6,0,0,0,"left","right",0.187079544794904,88.7655344151096,25
"244",1627,19.36,11.55,1,0,0,"right","right",0.169229127807342,89.6533998239888,27
"245",2194,11.56,11.55,0,0,0,"head/body","left",0.321747597452703,91.2521566868422,37
"246",2368,29.16,31.5,0,0,0,"right","right",0.125396446390586,68.670776899639,39
"247",2604,9.61,9.45,0,0,0,"left","right",0.390052421870641,93.7772605699271,43
"248",2637,7.29,21,0,0,0,"left","left",0.309477409111912,83.3931897699087,44
"249",2729,42.25,19.95,0,0,0,"left","left",0.0672056649034784,80.4740020130725,45
"250",2734,12.25,11.55,0,0,0,"right","right",0.303388468748635,91.0849328923286,46
"251",86,9,26.25,0,0,0,"right","right",0.248685939156067,77.8720906358626,1
"252",181,62.41,17.85,0,0,0,"right","right",0.0310982305069237,86.923820670746,3
"253",514,42.25,11.55,0,0,0,"left","right",0.0443503842743095,88.8339180718716,9
"254",689,16.81,28.35,0,0,0,"right","right",0.191061695225672,73.6832314709392,11
"255",917,31.36,25.2,0,0,0,"right","right",0.114422127026621,74.8465737358765,15
"256",930,25,24.15,0,0,1,"right","right",0.146887209207559,76.382082323016,16
"257",1114,19.36,10.5,0,0,0,"head/body","right",0.161535152133919,90.6894679662418,19
"258",1530,7.29,28.35,0,0,0,"right","right",0.241241879944909,76.4666371694218,26
"259",1562,30.25,10.5,0,0,0,"head/body","right",0.0758092924089453,89.5785270028482,26
"260",2024,14.44,9.45,0,0,0,"left","left",0.238578235469842,92.6385238440251,34
"261",2074,33.64,10.5,1,0,1,"left","right",0.0624824599648268,89.5007240194179,35
"262",2225,14.44,13.65,0,0,0,"head/body","right",0.256192884705904,88.5376535717996,37
"263",2559,34.81,11.55,0,0,1,"right","right",0.0634001379393421,88.4537087973139,43
"264",2689,30.25,14.7,0,0,0,"head/body","right",0.0959720578548226,85.3823898705113,45
"265",1510,33.64,10.5,0,0,0,"left","left",0.0624824599648268,89.5007240194179,25
"266",1588,31.36,28.35,0,0,0,"right","right",0.116464993057678,71.6986199309303,26
"267",1688,86.49,30.45,0,0,0,"right","right",0.026546694896743,87.1343938981617,28
"268",1725,47.61,12.6,0,0,0,"right","right",0.0382189736414363,88.453332893679,29
"269",1902,44.89,7.35,0,0,0,"left","right",0.0261656373184785,93.2878052051821,32
"270",1986,31.36,12.6,0,0,0,"head/body","right",0.0815258938008249,87.4398627629298,33
"271",2216,24.01,10.5,1,0,0,"right","right",0.113656379265052,90.0558165806074,37
"272",173,10.24,4.2,0,0,0,"left","right",0.274669048759095,98.7024700805405,3
"273",1136,15.21,3.15,0,0,0,"right","right",0.10084557334036,98.6558999756223,19
"274",1215,37.21,10.5,0,0,1,"right","both",0.0518355292655061,89.5575463040385,20
"275",1636,37.21,3.15,0,0,0,"right","right",0.0166937038570093,96.9031815783156,27
"276",1854,28.09,11.55,0,0,0,"head/body","right",0.0927375008595593,88.6472255629019,31
"277",1941,21.16,17.85,0,0,0,"right","right",0.171817293201236,83.1473878122458,32
"278",2044,49,27.3,0,0,0,"left","left",0.0637000836345511,74.2313276184658,34
"279",2147,57.76,19.95,0,0,1,"right","right",0.0392276191234089,83.5017371076794,36
"280",94,11.56,12.6,1,0,0,"left","right",0.319273228868983,90.2347693519521,2
"281",721,7.29,11.55,0,0,0,"right","right",0.454226931820738,92.3949489961437,12
"282",805,16.81,10.5,0,0,0,"head/body","right",0.199862357868068,91.1358661559762,13
"283",892,31.36,11.55,0,0,0,"left","right",0.0764698360525132,88.4893897594508,15
"284",970,16.81,10.5,0,0,0,"head/body","right",0.199862357868068,91.1358661559762,16
"285",1048,27.04,25.2,0,0,0,"right","right",0.135520786750105,75.1231096267986,17
"286",1050,37.21,7.35,0,0,0,"right","both",0.0377322827911766,92.7055909856574,18
"287",1280,13.69,7.35,0,0,0,"right","right",0.231692337871563,94.8499794412208,21
"288",1472,9,24.15,0,0,0,"left","left",0.26522171305326,79.8637746415733,25
"289",1965,10.89,7.35,0,0,0,"head/body","right",0.325865618127396,95.4887145164286,33
"290",2921,27.04,12.6,0,0,0,"head/body","left",0.104838692947889,87.6766878936471,49
"291",2958,62.41,13.65,0,0,0,"right","both",0.0245574015998563,90.9035235840723,49
"292",170,7.84,4.2,0,0,0,"right","right",0.437618117620771,99.3075304294695,3
"293",203,9,12.6,0,0,0,"right","left",0.386911584414047,90.9052253723624,3
"294",288,47.61,28.35,0,0,0,"left","right",0.0677793493938227,72.9311634351187,5
"295",412,9,24.15,0,0,0,"right","right",0.26522171305326,79.8637746415733,7
"296",544,27.04,5.25,0,0,0,"head/body","right",0.0515155373205559,95.0052845898585,9
"297",1370,7.29,4.2,0,0,0,"left","left",0.491811351964188,99.453828986118,23
"298",1714,9.61,35.7,0,0,0,"right","right",0.190733337358445,68.7703577131892,29
"299",2039,25,7.35,0,0,0,"head/body","right",0.0806537240162684,93.0861026147298,34
"300",2134,19.36,11.55,0,0,0,"right","right",0.169229127807342,89.6533998239888,36
"301",2502,32.49,12.6,0,0,0,"left","left",0.0766478206894406,87.4130430771061,42
"302",2655,26.01,5.25,0,0,0,"head/body","right",0.0555829425180046,95.0862902841414,44
"303",2658,23.04,3.15,1,0,0,"right","right",0.043694918577407,97.4681696760537,44
"304",652,15.21,23.1,0,0,1,"right","right",0.221303471661466,79.1623275302085,11
"305",767,16.81,31.5,0,0,0,"left","right",0.180796451214086,70.6239768067474,13
"306",919,17.64,10.5,0,0,0,"head/body","right",0.186189498886508,90.9829632403781,15
"307",1342,10.89,24.15,0,0,0,"right","right",0.251357451692221,79.2924624412687,22
"308",2086,20.25,11.55,1,0,0,"left","left",0.158167577199127,89.5123734463566,35
"309",2164,38.44,7.35,1,0,0,"right","right",0.0354217845206522,92.7563264688722,36
"310",2307,18.49,13.65,1,0,0,"right","right",0.191704795751497,87.7318790406315,38
"311",2806,25,28.35,0,0,0,"right","right",0.145587378935165,72.2130355268355,47
"312",258,27.04,5.25,0,0,0,"head/body","right",0.0515155373205559,95.0052845898585,4
"313",576,24.01,25.2,0,0,0,"right","right",0.152761153463013,75.4641643430841,10
"314",843,47.61,6.3,0,0,0,"right","right",0.0201088762305685,94.6832725458938,14
"315",1118,30.25,25.2,0,0,0,"left","left",0.119466884950646,74.8939416775483,19
"316",1197,12.96,21,0,0,0,"left","right",0.252594494531494,81.7537864566529,20
"317",1576,30.25,10.5,0,0,0,"head/body","right",0.0758092924089453,89.5785270028482,26
"318",1722,40.96,5.25,0,0,0,"right","right",0.022710357616842,95.0052845898585,29
"319",1745,44.89,16.8,0,0,0,"right","right",0.0537914648865275,83.9096663084772,29
"320",2492,11.56,12.6,0,0,0,"right","right",0.319273228868983,90.2347693519521,42
"321",2503,39.69,28.35,0,0,0,"right","right",0.0875000435462569,71.8755772150736,42
"322",2589,12.96,30.45,0,0,0,"left","left",0.203202140550839,72.6628109833359,43
"323",2649,20.25,11.55,0,0,0,"head/body","right",0.158167577199127,89.5123734463566,44
